Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01 - HTTP GET Request: Veterinarians Page,41396,667,689,1164,1291,1554,5,2541,0.000%,343.06551,261.66,43.22
02 - HTTP GET Request: Search Single Owner,41146,1008,1073,1651,1813,2177,8,3439,0.000%,341.03888,95.25,45.63
03 - HTTP POST Request: Visits,40724,657,666,1153,1285,1551,4,2287,100.000%,337.59710,104.52,76.82
04: HTTP  GET Request: Owners,40464,236,240,488,528,726,2,1281,100.000%,335.50848,71.43,44.89
TOTAL,163730,644,553,1305,1511,1875,2,3439,49.587%,1356.86346,532.77,210.49
