Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01 - HTTP GET Request: Veterinarians Page,28538,254,241,443,492,599,6,936,0.505%,411.66712,317.87,51.60
02 - HTTP GET Request: Search Single Owner,28394,371,385,579,651,793,8,1120,0.634%,409.76131,120.57,54.47
03 - HTTP POST Request: Visits,28214,249,237,431,479,575,5,899,100.000%,407.32827,130.41,92.26
04: HTTP  GET Request: Owners,28086,80,57,203,238,305,2,478,100.000%,405.52130,87.81,54.16
TOTAL,113232,239,213,476,538,691,2,1120,50.007%,1633.37372,656.41,252.34
