Users,Baseline_p99_latency_ms,EDA_p99_latency_ms,Improvement_pct,Baseline_Throughput_req_sec,EDA_Throughput_req_sec
100,375,105,72.00,684.19599,3076.13769
500,691,385.99,44.14,1633.37372,3557.18316
1000,1875,786.99,58.03,1356.86346,3088.42848
